original,replacement
exitpoolqc,keluar dari lingkaran hitung cepat
dimobil,di mobil
dikelas,di kelas
putan,putaran
bkin,bikin
sndiri,sendiri
smpmasih,sekolah menengah pertama masih
smp,sekolah menengah pertama
barisanideologi,barisan ideologi
pilihanpilihannya,pilihan pilihannya
uuiet,undang undang ite
depanmuokey,depanmu
ituminta,itu minta
gemoy,prabowo
demokrasipemilu,demokrasi pemilihan umum
pragibret,prabowo gibran
aahhhh,ah
bertubitubi,bertubi tubi
satukali,satu kali
dimusim,di musim
ganjarmahfud,ganjar mahfud
gedungpolda,gedung polda
terlaporkasus,terlapor kasus
crowds,kerumunan
pagii,pagi
sia,sia sia
sepakbola,sepak bola
bolo,saudara
bersabarrrr,bersabar
td,tidak
campaignhoax,kampanye hoaks
kagetmusim,kaget musim
prabowogibran,prabowo gibran
selatansulsel,selatan
ditiktok,di tiktok
hoaxkalo,hoaks kalau
kuwa,ini
kuwi,itu
antihoax,anti hoaks
ditpolairud,direktorat kepolisian perairan dan udara 
pesanpesan,pesan pesan
negative,negatif
tuduhanhoax,tuduhan hoaks
pakprabowopertama,pak prabowo pertama
didunia,di dunia
dulur,saudara
iv,lima
harto,suharto
inimari,ini mari
ajaaaaa,aja
nder,pengirim
bisabisa,bisa bisa
brosurleaflet,brosur leaflet
knpa,kenapa
bgini,begini
cekfakta,cek fakta
framing,pembingkaian
isuisu,isuisu
and,dan
bhbinkamtibmas,bhayangkara pembina keamanan dan ketertiban masyarakat
satusama,satu sama
pndukung,pendukung
that,itu
baguus,bagus
kemaribyak,kemari iya
berpendidikanclckckck,berpendidikan
jugatp,juga tapi
tiktoksosmed,tiktok sosial media
wak,bro
jo,juncto
juncto,dihubungkan
memecahbelah,memecah belah
lamalama,lama lama
faktafakta,fakta fakta
samasama,sama sama
orangorang,orang orang
jelasjelas,jelas jelas
waspadahoax,waspada hoaks
omonganpendukung,omongan pendukung
maren,kemarin
ph,pengacara
corona,korona
brutal,kejam
pihakpihak,pihak pihak
dungu,bodoh
hoaxkami,hoaks kami
jan,januari
pasxa,pasca
polri,kepolisian negara republik indonesia
parahnya,lebih parah
ngajuin,mengajukan
unsa,universitas surakarta
emng,memang
ngancam,ancam
nderbanyak,banyak
hoaxbisa,hoaks bisa
dikasustrus,dikasus terus
validtrus,valid terus
songongnya,angkuhnya
tidakberapa,tidak berapa
daerahberapa,daerah berapa
penyelengara,penyelenggara
bkn,bukan
menangkan,memenangkan
garagara,gara gara
matikan,mematikan
via,melalui
disediaken,disediakan
hatihati,hati hati
lu,kamu
loe,kamu
lo,kamu
elu,kamu
count,perhitungan 
cape,lelah 
mu,anda
diem,diam
bedanyakalo,bedanya kalau
kocak,lucu
ngikutin,mengikuti
transpuan,transgender perempuan
videovideo,video video
kredibel,dapat dipercaya
jago,hebat
demodemo,demo demo
dibuai,terpengaruh
diseret,di tarik
kemaren,kemarin
kemeninfo,kementerian kominukasi dan informatika
penghianat,pengkhianat
ingati,ingat
tv,televisi
putrn,putaran 
didis,di diskualifikasi
kedzoliman,kezaliman
nulisnya,menulisnya
berhalanloe,berpihak
lagimenghalalkan,lagi menghalalkan
konslet,korsleting
melonjat,melonjak
ratarata,rata rata 
prnwirwan,purnawirawan
dibrbgai,di berbagai
kcrangan,kecurangan
wan angin wan ganjar,wahai anis wahai ganjar
capresnya,calon presidennya
vote,memilih
mengadudomba,mengadu domba 
uda,sudah 
undangundang,undang undang 
ye,iya 
siapsiap,siap siap
fenomenapolitik,fenomena politik
prabowogibran,prabowo gibran 
jabanin,tanggapi
gua,saya
gue,saya
w,saya
gw,saya
berjamjam,berjam jam
bahasbahas,bahas bahas 
dikatakatain,disebutkan
brjln,berjalan
kare,karena
negerikaya,negeri seperti
undangundang,undang undang
jatengpasca,jawa tengah pasca 
benarjelas,benar jelas
humanioramenerima,humaniora menerima
alamin,mengalami
bkin,bikin
anehh,aneh 
kabidhumas,ketua bidang hubungan masyarakat
waktumomen,waktu 
pean,anda
blg,bilang
hebohhebohnya,heboh hebohnya
oarang,orang 
mentahmentah,mentah mentah
nilainilai,nilai nilai
negative,negatif
nyindir,sindir
ngantor,masuk ke kantor
zhalim,zalim
zolim,zalim
penjarakrn,penjara karena
sptyg,seperti yang
mosoksekelas,apakah mungkin sekelas
sbb,sebagai berikut
pascapemilu,pasca pemilihan umum
leaflet,selebaran
pemiluku,pemilihan umum saya
memimih,memilih
sebarhoax,sebar hoaks
benarhoax,benar hoaks
bohonghoax,bohong hoaks
kapolrinya,kepala kepolisian republik indonesia nya
atauhoakssoalpolritidak,atau hoaks soal kepolisian republik indonesia tidak
liat,lihat
im,saya
soalpemilu,soal pemilihan umum
pemilu,pemilihan umum
kepemiluan,pemilihan umum
polresta,kepolisian resor wilayan perkotaan
lawanhoaxpemilu,lawan hoaks pemilihan umum
kasuskasus,kasus kasus
taun,tahun
brjln,berjalan
pemilunya,pemilihan umumnya
dalampemilu,dalam pemilihan umum
males,malas
essay,esai
kejer,kejar
dapet,dapat
sndri,sendiri
absurd,konyol
omonganpendkung,omongan pendukung
liris,rilis
prose,proses
ra,ras
dapilnya,daerah pemilihannya
nemu,menemukan
menampik,tampil
adem,tenteram
mnolk,menolak
kera,keras
in,ini
ditakedown,diturunkan
nyembunyiin,menyembunyikan
beraskalo,beras kalau
markup,penandaan
kompastv,kompas televisi
siapin,siapkan
gbkdn,gelora bung karno dan
daerahdll,daerah dan lain lain
postingannya,unggahannya
